กรรโชก	k a n ˧ . t͡ɕʰ oː k̚ ˥˩
กรรไกร	k a n ˧ . k r aj ˧
กรรไกรตัดเล็บ	k a n ˧ . k r aj ˧ . t a t̚ ˨˩ . l e p̚ ˦˥
กรรไกรเล็ก	k a n ˧ . k r aj ˧ . l e k̚ ˦˥
กรวด	k r ua̯ t̚ ˨˩
กรวย	k r ua̯j ˧
กรอ	k r ɔː ˧
กรอก	k r ɔː k̚ ˨˩
กรอง	k r ɔː ŋ ˧
กรอบ	k r ɔː p̚ ˨˩
กระ	k r aʔ ˨˩
กระจก	k r a ˨˩ . t͡ɕ o k̚ ˨˩
กระจกตา	k r a ˨˩ . t͡ɕ o k̚ ˨˩ . t aː ˧
กระจกนาฬิกา	k r a ˨˩ . t͡ɕ o k̚ ˨˩ . n aː ˧ . l i ˦˥ . k aː ˧
กระจกเงา	k r a ˨˩ . t͡ɕ o k̚ ˨˩ . ŋ aw ˧
กระจง	k r a ˨˩ . t͡ɕ o ŋ ˧
กระจอก	k r a ˨˩ . t͡ɕ ɔː k̚ ˨˩
กระจอกเทศ	k r a ˨˩ . t͡ɕ ɔː k̚ ˨˩ . tʰ eː t̚ ˥˩
กระจับ	k r a ˨˩ . t͡ɕ a p̚ ˨˩
กระจับปี่	k r a ˨˩ . t͡ɕ a p̚ ˨˩ . p iː ˨˩
กระจาด	k r a ˨˩ . t͡ɕ aː t̚ ˨˩
กระจาย	k r a ˨˩ . t͡ɕ aːj ˧
กระจุก	k r a ˨˩ . t͡ɕ u k̚ ˨˩
กระจุกดาวลูกไก่	k r a ˨˩ . t͡ɕ u k̚ ˨˩ . d aːw ˧ . l uː k̚ ˥˩ . k aj ˨˩
กระชอน	k r a ˨˩ . t͡ɕʰ ɔː n ˧
กระชาก	k r a ˨˩ . t͡ɕʰ aː k̚ ˥˩
กระชาย	k r a ˨˩ . t͡ɕʰ aːj ˧
กระซิบ	k r a ˨˩ . s i p̚ ˦˥
กระซู่	k r a ˨˩ . s uː ˥˩
กระดอ	k r a ˨˩ . d ɔː ˧
กระดอง	k r a ˨˩ . d ɔː ŋ ˧
กระดังงา	k r a ˨˩ . d a ŋ ˧ . ŋ aː ˧
กระดาน	k r a ˨˩ . d aː n ˧
กระดานชนวน	k r a ˨˩ . d aː n ˧ . t͡ɕʰ a ˦˥ . n ua̯ n ˧
กระดานชนวน	k r a ˧ . d aː n ˧ . t͡ɕʰ a ˦˥ . n ua̯ n ˧
กระดานดำ	k r a ˨˩ . d aː n ˧ . d a m ˧
กระดานถีบ	k r a ˨˩ . d aː n ˧ . tʰ iː p̚ ˨˩
กระดานลื่น	k r a ˨˩ . d aː n ˧ . lɯː n ˥˩
กระดานลื่น	k r a ˧ . d aː n ˧ . lɯː n ˥˩
กระดานหก	k r a ˨˩ . d aː n ˧ . h o k̚ ˨˩
กระดานหก	k r a ˧ . d aː n ˧ . h o k̚ ˨˩
กระดานหมากรุก	k r a ˨˩ . d aː n ˧ . m aː k̚ ˨˩ . r u k̚ ˦˥
กระดานหมากรุก	k r a ˧ . d aː n ˧ . m aː k̚ ˨˩ . r u k̚ ˦˥
กระดานโต้คลื่น	k r a ˨˩ . d aː n ˧ . t oː ˥˩ . kʰ lɯː n ˥˩
กระดานไฟ	k r a ˨˩ . d aː n ˧ . f aj ˧
กระดาษ	k r a ˨˩ . d aː t̚ ˨˩
กระดาษ	k r a ˧ . d aː t̚ ˨˩
กระดาษชำระ	k r a ˨˩ . d aː t̚ ˨˩ . t͡ɕʰ a m ˧ . r aʔ ˦˥
กระดาษทราย	k r a ˨˩ . d aː t̚ ˨˩ . s aːj ˧
กระดาษทิชชู	k r a ˨˩ . d aː t̚ ˨˩ . tʰ i t̚ ˦˥ . t͡ɕʰ uː ˥˩
กระดาษเงินกระดาษทอง	k r a ˨˩ . d aː t̚ ˨˩ . ŋ ɤː n ˧ . k r a ˨˩ . d aː t̚ ˨˩ . tʰ ɔː ŋ ˧
กระดาษเช็ดปาก	k r a ˨˩ . d aː t̚ ˨˩ . t͡ɕʰ e t̚ ˦˥ . p aː k̚ ˨˩
กระดาษเช็ดปาก	k r a ˧ . d aː t̚ ˨˩ . t͡ɕʰ e t̚ ˦˥ . p aː k̚ ˨˩
กระดาษแก้ว	k r a ˨˩ . d aː t̚ ˨˩ . k ɛːw ˥˩
กระดาษแข็ง	k r a ˨˩ . d aː t̚ ˨˩ . kʰ ɛ ŋ ˩˩˦
กระดิก	k r a ˨˩ . d i k̚ ˨˩
กระดิ่ง	k r a ˨˩ . d i ŋ ˨˩
กระดี่ได้น้ำ	k r a ˨˩ . d iː ˨˩ . d aj ˥˩ . n aː m ˦˥
กระดึ๊บ	k r a ˨˩ . d ɯ p̚ ˦˥
กระดุม	k r a ˨˩ . d u m ˧
กระดูก	k r a ˨˩ . d uː k̚ ˨˩
กระดูกค้อน	k r a ˨˩ . d uː k̚ ˨˩ . kʰ ɔː n ˦˥
กระดูกงู	k r a ˨˩ . d uː k̚ ˨˩ . ŋ uː ˧
กระดูกซี่โครง	k r a ˨˩ . d uː k̚ ˨˩ . s iː ˥˩ . kʰ r oː ŋ ˧
กระดูกต้นขา	k r a ˨˩ . d uː k̚ ˨˩ . t o n ˥˩ . kʰ aː ˩˩˦
กระดูกต้นแขน	k r a ˨˩ . d uː k̚ ˨˩ . t o n ˥˩ . kʰ ɛː n ˩˩˦
กระดูกทั่ง	k r a ˨˩ . d uː k̚ ˨˩ . tʰ a ŋ ˥˩
กระดูกน่อง	k r a ˨˩ . d uː k̚ ˨˩ . n ɔ ŋ ˥˩
กระดูกสะบัก	k r a ˨˩ . d uː k̚ ˨˩ . s a ˨˩ . b a k̚ ˨˩
กระดูกสันหลัง	k r a ˨˩ . d uː k̚ ˨˩ . s a n ˩˩˦ . l a ŋ ˩˩˦
กระดูกสันอก	k r a ˨˩ . d uː k̚ ˨˩ . s a n ˩˩˦ . ʔ o k̚ ˨˩
กระดูกอ่อน	k r a ˨˩ . d uː k̚ ˨˩ . ʔ ɔː n ˨˩
กระดูกเชิงกราน	k r a ˨˩ . d uː k̚ ˨˩ . t͡ɕʰ ɤː ŋ ˧ . k r aː n ˧
กระดูกแข้ง	k r a ˨˩ . d uː k̚ ˨˩ . kʰ ɛ ŋ ˥˩
กระดูกโกลน	k r a ˨˩ . d uː k̚ ˨˩ . k l oː n ˧
กระดูกโหนกแก้ม	k r a ˨˩ . d uː k̚ ˨˩ . n oː k̚ ˨˩ . k ɛː m ˥˩
กระดูกโอบอก	k r a ˨˩ . d uː k̚ ˨˩ . ʔ oː p̚ ˨˩ . ʔ o k̚ ˨˩
กระดูกไหปลาร้า	k r a ˨˩ . d uː k̚ ˨˩ . h aj ˩˩˦ . p l aː ˧ . r aː ˦˥
กระด้ง	k r a ˨˩ . d o ŋ ˥˩
กระด้าง	k r a ˨˩ . d aː ŋ ˥˩
กระติก	k r a ˨˩ . t i k̚ ˨˩
กระตือรือร้น	k r a ˨˩ . t ɯː ˧ . rɯː ˧ . r o n ˦˥
กระตือรือล้น	k r a ˨˩ . t ɯː ˧ . rɯː ˧ . l o n ˦˥
กระตุก	k r a ˨˩ . t u k̚ ˨˩
กระตุกหนวดเสือ	k r a ˨˩ . t u k̚ ˨˩ . n ua̯ t̚ ˨˩ . s ɯa̯ ˩˩˦
กระตุ้น	k r a ˨˩ . t u n ˥˩
กระต่าย	k r a ˨˩ . t aːj ˨˩
กระต่ายตื่นตูม	k r a ˨˩ . t aːj ˨˩ . t ɯː n ˨˩ . t uː m ˧
กระต่ายป่า	k r a ˨˩ . t aːj ˨˩ . p aː ˨˩
กระต่ายหมายจันทร์	k r a ˨˩ . t aːj ˨˩ . m aːj ˩˩˦ . t͡ɕ a n ˧
กระต๊อบ	k r a ˨˩ . t ɔ p̚ ˦˥
กระถาง	k r a ˨˩ . tʰ aː ŋ ˩˩˦
กระถางดอกไม้	k r a ˨˩ . tʰ aː ŋ ˩˩˦ . d ɔː k̚ ˨˩ . m aːj ˦˥
กระถางต้นไม้	k r a ˨˩ . tʰ aː ŋ ˩˩˦ . t o n ˥˩ . m aːj ˦˥
กระทง	k r a ˨˩ . tʰ o ŋ ˧
กระทบ	k r a ˨˩ . tʰ o p̚ ˦˥
กระทรวง	k r a ˨˩ . s ua̯ ŋ ˧
กระทรวงศึกษาธิการ	k r a ˨˩ . s ua̯ ŋ ˧ . s ɯ k̚ ˨˩ . s aː ˩˩˦ . tʰ i ˦˥ . k aː n ˧
กระทะ	k r a ˨˩ . tʰ aʔ ˦˥
กระทะทองแดง	k r a ˨˩ . tʰ a ˦˥ . tʰ ɔː ŋ ˧ . d ɛː ŋ ˧
กระทะใบบัว	k r a ˨˩ . tʰ a ˦˥ . b aj ˧ . b ua̯ ˧
กระทัดรัด	k r a ˨˩ . tʰ a t̚ ˦˥ . r a t̚ ˦˥
กระทันหัน	k r a ˨˩ . tʰ a n ˧ . h a n ˩˩˦
กระทา	k r a ˨˩ . tʰ aː ˧
กระทำ	k r a ˨˩ . tʰ a m ˧
กระทิง	k r a ˨˩ . tʰ i ŋ ˧
กระทืบ	k r a ˨˩ . tʰ ɯː p̚ ˥˩
กระทุง	k r a ˨˩ . tʰ u ŋ ˧
กระทู้	k r a ˨˩ . tʰ uː ˦˥
กระทู้ถาม	k r a ˨˩ . tʰ uː ˦˥ . tʰ aː m ˩˩˦
กระท่อม	k r a ˨˩ . tʰ ɔ m ˥˩
กระท้อน	k r a ˨˩ . tʰ ɔː n ˦˥
กระนั้น	k r a ˨˩ . n a n ˦˥
กระบถ	k r a ˨˩ . b o t̚ ˨˩
กระบวน	k r a ˨˩ . b ua̯ n ˧
กระบวนการ	k r a ˨˩ . b ua̯ n ˧ . k aː n ˧
กระบวนพิจารณา	k r a ˨˩ . b ua̯ n ˧ . pʰ i ˦˥ . t͡ɕ aː ˧ . r a ˦˥ . n aː ˧
กระบวย	k r a ˨˩ . b ua̯j ˧
กระบอก	k r a ˨˩ . b ɔː k̚ ˨˩
กระบอกฉีดยา	k r a ˨˩ . b ɔː k̚ ˨˩ . t͡ɕʰ iː t̚ ˨˩ . j aː ˧
กระบอกเสียง	k r a ˨˩ . b ɔː k̚ ˨˩ . s ia̯ ŋ ˩˩˦
กระบอง	k r a ˨˩ . b ɔː ŋ ˧
กระบองเพชร	k r a ˨˩ . b ɔː ŋ ˧ . pʰ e t̚ ˦˥
กระบะ	k r a ˨˩ . b aʔ ˨˩
กระบะทราย	k r a ˨˩ . b a ˨˩ . s aːj ˧
กระบี่	k r a ˨˩ . b iː ˨˩
กระบี่กระบอง	k r a ˨˩ . b iː ˨˩ . k r a ˨˩ . b ɔː ŋ ˧
กระบือ	k r a ˨˩ . b ɯː ˧
กระบุง	k r a ˨˩ . b u ŋ ˧
กระปรี้กระเปร่า	k r a ˨˩ . p r iː ˥˩ . k r a ˨˩ . p r aw ˨˩
กระปี๋	k r a ˨˩ . p iː ˩˩˦
กระปุก	k r a ˨˩ . p u k̚ ˨˩
กระปุกหมู	k r a ˨˩ . p u k̚ ˨˩ . m uː ˩˩˦
กระปุกออมสิน	k r a ˨˩ . p u k̚ ˨˩ . ʔ ɔː m ˧ . s i n ˩˩˦
กระป๋อง	k r a ˨˩ . p ɔ ŋ ˩˩˦
กระผม	k r a ˨˩ . pʰ o m ˩˩˦
กระพริบ	k r a ˨˩ . pʰ r i p̚ ˦˥
กระพัง	k r a ˨˩ . pʰ a ŋ ˧
กระพัน	k r a ˨˩ . pʰ a n ˧
กระพือ	k r a ˨˩ . pʰ ɯː ˧
กระมัง	k r a ˨˩ . m a ŋ ˧
กระยาง	k r a ˨˩ . j aː ŋ ˧
กระยาหาร	k r a ˨˩ . j aː ˧ . h aː n ˩˩˦
กระรอก	k r a ˨˩ . r ɔː k̚ ˥˩
กระรอกบิน	k r a ˨˩ . r ɔː k̚ ˥˩ . b i n ˧
กระลาโหม	k r a ˨˩ . l aː ˧ . h oː m ˩˩˦
กระวนกระวาย	k r a ˨˩ . w o n ˧ . k r a ˨˩ . w aːj ˧
กระษัตร	k r a ˨˩ . s a t̚ ˨˩
กระษัตร	k r a ˨˩ . s a t̚ ˨˩ . t r a ˨˩ .
กระษัตริย์	k r a ˨˩ . s a t̚ ˨˩
กระษัตรี	k r a ˨˩ . s a t̚ ˨˩ . t r iː ˧
กระสวน	k r a ˨˩ . s ua̯ n ˩˩˦
กระสวย	k r a ˨˩ . s ua̯j ˩˩˦
กระสวยอวกาศ	k r a ˨˩ . s ua̯j ˩˩˦ . ʔ a ˨˩ . w a ˦˥ . k aː t̚ ˨˩
กระสอบ	k r a ˨˩ . s ɔː p̚ ˨˩
กระสะ	k r a ˨˩ . s aʔ ˨˩
กระสา	k r a ˨˩ . s aː ˩˩˦
กระสา	k r a ˧ . s aː ˩˩˦
กระสาบ	k r a ˨˩ . s aː p̚ ˨˩
กระสาย	k r a ˨˩ . s aːj ˩˩˦
กระสือ	k r a ˨˩ . s ɯː ˩˩˦
กระสุน	k r a ˨˩ . s u n ˩˩˦
กระหนก	k r a ˨˩ . n o k̚ ˨˩
กระหม่อม	k r a ˨˩ . m ɔ m ˨˩
กระหรี่	k r a ˨˩ . r iː ˨˩
กระหล่ำ	k r a ˨˩ . l a m ˨˩
กระหวัด	k r a ˨˩ . w a t̚ ˨˩
กระหาย	k r a ˨˩ . h aːj ˩˩˦
กระอัก	k r a ˨˩ . ʔ a k̚ ˨˩
กระเจี๊ยบ	k r a ˨˩ . t͡ɕ ia̯ p̚ ˦˥
กระเจี๊ยบมอญ	k r a ˨˩ . t͡ɕ ia̯ p̚ ˦˥ . m ɔː n ˧
กระเจี๊ยว	k r a ˨˩ . t͡ɕ ia̯w ˦˥
กระเชอ	k r a ˨˩ . t͡ɕʰ ɤː ˧
กระเชอก้นรั่ว	k r a ˨˩ . t͡ɕʰ ɤː ˧ . k o n ˥˩ . r ua̯ ˥˩
กระเชา	k r a ˨˩ . t͡ɕʰ aw ˧
กระเช้า	k r a ˨˩ . t͡ɕʰ aw ˦˥
กระเซิง	k r a ˨˩ . s ɤː ŋ ˧
กระเซ็น	k r a ˨˩ . s e n ˧
กระเดือก	k r a ˨˩ . d ɯa̯ k̚ ˨˩
กระเด็น	k r a ˨˩ . d e n ˧
กระเต็น	k r a ˨˩ . t e n ˧
กระเทย	k r a ˨˩ . tʰ ɤːj ˧
กระเทียม	k r a ˨˩ . tʰ ia̯ m ˧
กระเบน	k r a ˨˩ . b eː n ˧
กระเบื้อง	k r a ˨˩ . b ɯa̯ ŋ ˥˩
กระเป๋า	k r a ˨˩ . p aw ˩˩˦
กระเป๋าตังค์	k r a ˨˩ . p aw ˩˩˦ . t a ŋ ˧
กระเป๋าธนบัตร	k r a ˨˩ . p aw ˩˩˦ . tʰ a ˦˥ . n a ˦˥ . b a t̚ ˨˩
กระเป๋าสตางค์	k r a ˨˩ . p aw ˩˩˦ . s a ˨˩ . t aː ŋ ˧
กระเป๋าเงิน	k r a ˨˩ . p aw ˩˩˦ . ŋ ɤ n ˧
กระเป๋าเดินทาง	k r a ˨˩ . p aw ˩˩˦ . d ɤː n ˧ . tʰ aː ŋ ˧
กระเพรา	k r a ˨˩ . pʰ r aw ˧
กระเพา	k r a ˨˩ . pʰ aw ˧
กระเพาะ	k r a ˨˩ . pʰ ɔʔ ˦˥
กระเพาะปัสสาวะ	k r a ˨˩ . pʰ ɔʔ ˦˥ . p a t̚ ˨˩ . s aː ˩˩˦ . w aʔ ˦˥
กระเพาะพัก	k r a ˨˩ . pʰ ɔʔ ˦˥ . pʰ a k̚ ˦˥
กระเพาะอาหาร	k r a ˨˩ . pʰ ɔʔ ˦˥ . ʔ aː ˧ . h aː n ˩˩˦
กระเรียน	k r a ˨˩ . r ia̯ n ˧
กระเหรี่ยง	k r a ˨˩ . r ia̯ ŋ ˨˩
กระแต	k r a ˨˩ . t ɛː ˧
กระแทก	k r a ˨˩ . tʰ ɛː k̚ ˥˩
กระแส	k r a ˨˩ . s ɛː ˩˩˦
กระแสไฟฟ้า	k r a ˨˩ . s ɛː ˩˩˦ . f aj ˧ . f aː ˦˥
กระโจม	k r a ˨˩ . t͡ɕ oː m ˧
กระโจมไฟ	k r a ˨˩ . t͡ɕ oː m ˧ . f aj ˧
กระโชก	k r a ˨˩ . t͡ɕʰ oː k̚ ˥˩
กระโดด	k r a ˨˩ . d oː t̚ ˨˩
กระโดดร่ม	k r a ˨˩ . d oː t̚ ˨˩ . r o m ˥˩
กระโถน	k r a ˨˩ . tʰ oː n ˩˩˦
กระโทง	k r a ˨˩ . tʰ oː ŋ ˧
กระโปรง	k r a ˨˩ . p r oː ŋ ˧
กระได	k r a ˨˩ . d aj ˧
กรัง	k r a ŋ ˧
กรัม	k r a m ˧
กราด	k r aː t̚ ˨˩
กราดภาพ	k r aː t̚ ˨˩ . pʰ aː p̚ ˥˩
กราบ	k r aː p̚ ˨˩
กราฟ	k r aː f ˦˥
กราฟ	k r aː p̚ ˦˥
กราม	k r aː m ˧
กริช	k r i t̚ ˨˩
กรินทร์	k a ˨˩ . r i n ˧
กริยา	k r i ˨˩ . j aː ˧
กริยา	k a ˨˩ . r i ˦˥ . j aː ˧
กริยาช่วย	k r i ˨˩ . j aː ˧ . t͡ɕʰ ua̯j ˥˩
กริยาช่วย	k a ˨˩ . r i ˦˥ . j aː ˧ . t͡ɕʰ ua̯j ˥˩
กริยานุเคราะห์	k r i ˨˩ . j aː ˧ . n u ˦˥ . kʰ r ɔʔ ˦˥
กริยานุเคราะห์	k a ˨˩ . r i ˦˥ . j aː ˧ . n u ˦˥ . kʰ r ɔʔ ˦˥
กริยาวิเศษณานุประโยค	k r i ˨˩ . j aː ˧ . w i ˦˥ . s eː ˩˩˦ . s a ˨˩ . n aː ˧ . n u ˦˥ . p r a ˨˩ . j oː k̚ ˨˩
กริยาวิเศษณานุประโยค	k a ˨˩ . r i ˦˥ . j aː ˧ . w i ˦˥ . s eː ˩˩˦ . s a ˨˩ . n aː ˧ . n u ˦˥ . p r a ˨˩ . j oː k̚ ˨˩
กริยาวิเศษณ์	k r i ˨˩ . j aː ˧ . w i ˦˥ . s eː t̚ ˨˩
กริยาวิเศษณ์	k a ˨˩ . r i ˦˥ . j aː ˧ . w i ˦˥ . s eː t̚ ˨˩
กริ่ง	k r i ŋ ˨˩
กริ่งเกรง	k r i ŋ ˨˩ . k r eː ŋ ˧
กริ้ว	k r iw ˥˩
กรี	k a ˨˩ . r iː ˧
กรี	k r iː ˧
กรีก	k r iː k̚ ˨˩
กรีซ	k r iː s ˨˩
กรีซ	k r iː s ˦˥
กรีฑา	k r iː ˧ . tʰ aː ˧
กรีด	k r iː t̚ ˨˩
